姓名,财富(亿),性别,年龄,出生地,公司,行业,总部,排名,年龄段,省份
张一鸣,3500.0,先生,41.0,,字节跳动,社交媒体,北京,1,41-50岁,北京
钟睒睒,3400.0,先生,70.0,,养生堂,饮料、医疗保健,浙江杭州,2,70岁以上,浙江杭州
马化腾,3150.0,先生,53.0,汕头,腾讯,互联网服务,广东深圳,3,51-60岁,广东深圳
黄峥,2450.0,先生,44.0,杭州,拼多多,购物网站,上海长宁,4,41-50岁,上海长宁
何享健,2350.0,先生,82.0,佛山,美的,家电制造,广东佛山,5,70岁以上,广东佛山
曾毓群,2000.0,先生,56.0,,宁德时代,锂电池,福建宁德,6,51-60岁,福建宁德
丁磊,2000.0,先生,53.0,宁波,网易,互联网技术,浙江杭州,6,51-60岁,浙江杭州
李嘉诚,2000.0,先生,96.0,潮州,长江实业,投资,香港,6,70岁以上,香港
李兆基,1750.0,先生,96.0,佛山,恒基兆业,房地产,香港,9,70岁以上,香港
马云,1650.0,先生,60.0,绍兴,阿里系,电子商务、金融科技,浙江杭州,10,61-70岁,浙江杭州
李书福,1450.0,先生,61.0,台州,吉利,汽车制造,浙江杭州,11,61-70岁,浙江杭州
严昊,1450.0,先生,38.0,淮安,太平洋建设,基础建设,新疆乌鲁木齐,11,31-40岁,新疆乌鲁木齐
张刚,1450.0,先生,43.0,聊城,信发铝电,电解铝、氧化铝,山东聊城,11,41-50岁,山东聊城
李蔡美灵,1400.0,先生,,香港,李锦记,调味品,香港,14,,香港
吕向阳,1400.0,先生,61.0,芜湖,融捷,投资,广东广州,14,61-70岁,广东广州
秦英林,1350.0,先生,59.0,南阳,牧原,畜牧,河南南阳,16,51-60岁,河南南阳
王传福,1350.0,先生,58.0,芜湖,比亚迪,汽车、充电电池,广东深圳,16,51-60岁,广东深圳
赵长鹏,1350.0,先生,47.0,,币安,虚拟货币交易所,美国,16,41-50岁,美国
雷军,1300.0,先生,55.0,仙桃,小米,智能硬件与技术、投资,北京,19,51-60岁,北京
陈建华,1250.0,先生,53.0,苏州,恒力,化纤、石化、房地产,江苏苏州,20,51-60岁,江苏苏州
